Müşteri Şikayeti, Kategori, Alt Kategori
"altın için vadeli mevduat hesabı açmak istiyorum, vadesi ve faiz oran seçenekleri neleridr?", Yatırım Ürünleri, Yatırım İşlemleri
"Vadeli mevduat hesabıma eklediğim tutara göre faiz oranları farklılık gösteriyor mu? Bilgilendirirsiniz sevinirim.", Yatırım Ürünleri, Yatırım İşlemleri
"Bankanızın mevduat faiz oranları enflasyondan etkilenir mi, etkilenirse ne kadar etkilenir?", Yatırım Ürünleri, Yatırım İşlemleri
"vadeli mevduat hesabı kaç günlük açılabilir?", Yatırım Ürünleri, Yatırım İşlemleri
"vadeli mevduat hesabımdan kesilecek gelir vergisi oranlarını nasıl öğrenebilirim.", Yatırım Ürünleri, Yatırım İşlemleri
"Merhaba, vadeli mevduat hesabıma eklediğim tutara göre faiz oranlarının farklılık gösterdiğini öğrendim. Ancak, bu konuda önceden hiçbir bilgilendirme yapılmadı. Bu durumdan dolayı mağdur oldum ve faiz oranlarının net bir şekilde belirtilmesini talep ediyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"vadeli mevduat hesabıma eklediğim farklı tutarlara göre faiz oranlarının değiştiğini fark ettim. Bankanız tarafından bu konuda bilgilendirilmediğim için beklediğim getirinin altında kaldı aldığım. Bu durumu düzeltin", Yatırım Ürünleri, Yatırım İşlemleri
"Xbankasında vadeli mevduat hesabı açarken başlangıç açılışında kampanya veya promosyon olduğu belirtilmişti. Fakat hesap açıldıktan sonra herhangi bir kampanya veya promosyondan yararlanamadım. Bu konuda eksik bilgilendirme yapıldı ve mağdur oldum.", Yatırım Ürünleri, Yatırım İşlemleri
"Xbankasında mevduat hesabı açtım, ancak iznim ve bilgim dışında fon alımı yapılarak hesabımdan kesinti yapılmış. Bu durumdan dolayı zarara uğradım ve zararımın giderilmesini istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Xbankasında açtığım mevduat hesabımdan, benim onayım olmadan fon alımı gerçekleştirilmiş ve bu yüzden hesabımdan kesinti yapılmış. Bu beklenmedik durumdan dolayı mağdur oldum ve kesintinin iade edilmesini talep ediyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Xbankasında mevduat hesabımda iznim dışında fon alımı yapılmış ve bu işlem nedeniyle hesabımdan para kesilmiş. zararımın ödenmesini istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"vadeli mevduat hesaplama formülü nedir?", Yatırım Ürünleri, Yatırım İşlemleri
"Vadeli mevduat hesabı açılışında anlaştığımız faiz oranı yerine daha düşük bir faiz oranı uygulanmıştır. Bu durumdan dolayı mağdur oldum ve düzeltilmesini talep ediyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Vadeli mevduat hesabımı açarken belirttiğiniz faiz oranı ile hesabıma uygulanan faiz oranı farklı. Bu hatanın düzeltilmesini ve hesabıma doğru faiz oranının yansıtılmasını talep ediyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"vadesiz mevduat hesabımla eft/ havale yapabilir miyim?", Yatırım Ürünleri, Yatırım İşlemleri
"vadeli mevduat başvurusu yaparken gerekli olan belgeler nelerdir?", Yatırım Ürünleri, Yatırım İşlemleri
"bankanızın mevduat ürünleri hakkında bilgi alabilir miyim? teşekkürler", Yatırım Ürünleri, Yatırım İşlemleri
"Xbank'ın web sitesinde vadeli mevduat faiz oranı %55 olarak görünüyordu. 20 Mart'ta hesap açmak istedim, ancak mobil bankacılıkta %54 olarak gösterildi. Müşteri hizmetlerini aradım ve hesabı açtıktan sonra düzeltilebileceğini söylediler. Hesabı açtım, fakat tekrar aradığımda düzeltmenin mümkün olmadığını öğrendim.", Yatırım Ürünleri, Yatırım İşlemleri
"Xbank mobil uygulamasında, vadeli mevduat hesabımı açmaya çalıştığımda iki gün önce %43 olarak görünen faiz oranı bir anda %16'ya düştü. Diğer tüm Xbank mobil kullanıcılarıyla kontrol ettim ve onlarda hala %43 olarak görünüyor. Bu hatanın nedenini öğrenmek ve düzeltilmesini istiyorum. Mevduata giriş yapamadığım için maddi kaybım var.", Yatırım Ürünleri, Yatırım İşlemleri
"Merhaba, mobil uygulamada vadeli mevduat hesabımı %43 faiz oranı ile açmak üzereyken, iki gün sonra oran %16 olarak görünmeye başladı. Diğer Xbank mobil kullanıcılarıyla karşılaştırdığımda onların oranı hala %43 olarak gözüküyor. Bu hatanın neden kaynaklandığını ve düzeltilmesini talep ediyorum. Bu sorun nedeniyle maddi kayba uğradım. Gereğinin acilen yapılmasını arz ederim.", Yatırım Ürünleri, Yatırım İşlemleri
"Yeni müşterilere mevduat hesabı için %45 faiz oranı sunulurken, biz eski müşterilere %42 faiz oranı uygulanıyor. Bu durumu haksız buluyorum ve bizim oranımızın da %45'e çıkarılmasını talep ediyorum. Aksi halde başka bankalara geçmeyi düşüneceğim.", Yatırım Ürünleri, Yatırım İşlemleri
"bankanizda mevduat icin faiz oranlari hakkindaki degisiklik icin asla bilgilendirme yapilmadan parami faize koymussunuz, yetkililere ulasmaya calistigimda asla cozum alamadim. bu sorunun acilen cozulmesini istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Konut sigortası hasar bildirimi nasıl yapanübilirim?", Sigorta, Konuk Sigortası
"Konut sigortası pirim ödemesi hatalı", Sigorta, Konuk Sigortası
"Bugün bankanızdaki konut kredimin taksitini ödemek için internet bankacılığına girdim. Konut kredime bağlı olan konut sigortam yenilenmiş ve kredi taksitimin üzerine eklenmiş. 2564 olan taksitim 8661 olarak görünüyor ve sadece kredi taksitimi ödeyemiyorum.", Sigorta, Konuk Sigortası
"konut sigortası poliçesinin, Türkiye sigorta şirketi tarafından yenilendiğini hesabımdaki param çekilince öğrendim. 03.07.2024'de 449359269-3 numaralı poliçe için 8995,01 TL iznim ve bilgim dışında hesabımdan çekilerek Türkiye sigorta şirketi tarafından yenilenmiştir. Bu hususta, yapılan poliçelerin iptalini, prim tutarlarının kesintisiz olarak tarafıma iadesini, yenilemeye dair onayım olmadan tekrar yenilenmemesini istiyorum.", Sigorta, Konuk Sigortası
"19-06-2020 tarihinde konut kredisi kullandım. Buna istinaden her yıl bilgim dışında özel konut sigortası yapılarak para kesilmiştir. Şubeleri aramam ve dilekçe göndermeme rağmen yinede devam etmektedir. 19-06-2024 tarihinde 448985866 numaralı özel konut poliçesinin iptalini ve ücret iadesinin yapılmasını talep ediyorum.", Sigorta, Konuk Sigortası
"Konut kredisi kullanırken DASK, Özel konut sigortası ve hayat sigortam yapılmıştır. Konutlar veya sağlanan kredi ile inşa edilen meskenler zorunlu olarak deprem sigortasına (DASK) tabidir ve 79389961 numaralı DASK poliçem 2329.02 TL karşılığında yapılmıştır. Kredi kullandırımında hayat sigortası yapılacağına dair bilgi verilmiştir ve 10000003874148 numaralı hayat poliçem 12005,09 TL karşılığında yapılmıştır. Ancak özel konut sigortası yapılacağına dair başvurumda ve devam eden süreçte herhangi bir bilgi verilmemiştir. Sigorta özel kılavuzunda Özel konut sigortası ile ilgili herhangi bir zorunluluk hükmü yoktur. Kredi kullanıcısının talep etmesi durumunda konut paket sigortası yapılabilir mantığından hareketle benim sigorta yaptırmak gibi bir talebim olmamıştır.", Sigorta, Konuk Sigortası
"aldığım krediden ötürü yapılan özel konut sigortasının kendi rızam dışında her yıl otomatik yenilendiği, özel konut sigortasının iptal edilmesi ve para iadesini talep etmiştim. Tüketici Hakem Heyeti'ne başvurum kabul edilmiş ve lehime karar çıkmıştır. Konut sigortamın iptali ve ücretin aynen iadesini ve bir daha yenilenmemesini talep ediyorum. Aksi halde Tüketici Hakem Heyeti kararıyla icraya başvuracağım.", Sigorta, Konuk Sigortası
"Denizbank, bilgim dâhilinde olmadan ve onayım olmadan kendi hesabım üzerinden konut sigortası yapmıştır. Bu durumdan şikayetçiyim. 'Ev bizim, biz yaptırırız.' gibi bir seçenekleri var da benim mi haberim yok acaba? Ev kredisi bitinceye kadar konut sigortası ödemem gerektiği söyleniyor. DASK'ı anladım da, konut sigortası neden zorunlu? Ayrıca, haberim olmadan ve bana bilgi verilmeden bu işlemin yapılmasını anlamıyorum.", Sigorta, Konuk Sigortası
"Denizbank 2 Mayıs 2023 tarihi itibarıyla kapattığım konut kredimin sigorta satışını yapacağımı söylediğim halde konut sigortasını iptal etmemiş. Ben konutu sattım fakat KMH hesabımdan sigorta taksiti çekmeye devam etmiş. Utanmadan bir de gecikmeniz var ödeme yapmanız gerekiyor diye beni aramışlar. Zorla bana gecikme faizi ile birlikte 1050 TL borç ödettiler.", Sigorta, Konuk Sigortası
"Denizbank'tan kullandığım konut kredisi için tarafıma fahiş ücrette 4274 TL tutarlı 4142149** numaralı konut poliçesi düzenlenmiştir. Axa Sigorta ile yapılan görüşmede banka aracılığıyla yapılan poliçenin bankadan alınan kredi riski nedeniyle iptaline uygunluk verilmediği bildirilmiştir.mağduriyetimin bir an önce giderilerek konut poliçemin iptal edilmesini istiyorum.", Sigorta, Konuk Sigortası
"Denizbank Antakya Çarşı Şubesinden kullanmış olduğum konut kredisinde DASK poliçem bankanın kendi inisiyatifine göre düşük tutulmuş bu da yetmezmiş gibi metrekaresi DASK sistemine yanlış girilmiş. Yapı kullanım izin belgesinde 135 m2 olan daire 110 m2 olarak girilmiş ve hiçbir bilgi ya da sorgulama yapılmadı. Günü geldiğinde hem DASK hem konut sigortası poliçesini ödüyordum. Şimdi deprem sebebiyle zaten mağdur durumdayız üstüne üstlük banka ve acentası Axa Sigorta müşterisini daha da mağdur etme yolunu seçiyor. DASK poliçemin acilen rayiç bedel üzerinden güncellenmesini ve daire yüz ölçümünün düzeltilmesini talep ediyorum. Aksi takdirde tüm yasal haklarımı kullanıp hem bankadan hem de bu işlemleri gizli saklı yapan çalışanlara karşı dava açacağım. Denizbank deprem yardımlarında yüksek miktarda kamuoyu önünde göz boyuyor ama müşterisini daha da mahvetme yolunu seçiyor.", Sigorta, Konuk Sigortası
"Denizbank'tan kullanmış olduğum konut kredisine yapılan konut sigortasını defalarca istemediğimi belirttiğim kendilerine faks çekerek istemediğimi yazıyla açıkladığım halde hatta Tüketici Hakem Heyeti'ne bildirdiğim Hakem Heyeti çalışanları banka haklı çıkar diyerek bankaya taraf oldular işlemimi yapmadılar kendileri konut kredisi hesabıma yolladığım aylık kredi taksidimden sigorta bedelini çekmek suretiyle beni defalarca gecikmeye düşürdüler yapılan poliçeleri yollamadılar sürekli SMS ile sigorta borcum olduğunu tekrarlayarak rahatsız ediyorlar. Sigorta ücreti kesilmesin diye sürekli 1 ay geriden ödüyorum. Bu işkencenin son bulmasını ve haksız olarak aldıkları sigorta paralarını geri vermelerini istiyorum ayrıca hesabımdan iznim olmadan sigorta parası çekip beni gecikmeye sokarak aldıkları gecikme ücretlerini geri vermelerini istiyorum.", Sigorta, Konuk Sigortası
"Denizbank Avcılar Çarşı şubesinde onayım olmadan 04.10.2022 tarihinde 361013337-0 no lu konut sigortası poliçesi düzenlenip kişisel banka hesabımdan herhangi bir onayım olmadan 4.152 TL çekilmiştir. Bu durumu fark edip 10.10.2022 tarihinde şubeye müracaat edip yapılan işlemin iptalini isteyip çekilen paranın tekrar hesabıma iadesini talep ettim. 19.10.2022 tarihinde 3.181 TL. Hesabıma geri iade edildi. Axa Sigorta müşteri hizmetleri ile görüştüğümde çekilen paranın tamamının geri iade edilmesi gerektiği bildirildi. Denizbank Avcılar/ Çarşı şubesi 971 TL lik kesintinin neden, ne hakla yapıldığı hakkında tarafıma herhangi bir açıklama yapamayıp, sadece susup şikayet kaydı oluşturarak olayı geçiştirerek, beni başlarından savmaktan başka bir çare ve açıklama üretmemişlerdir. Müşteri hizmetleri ile yaptığım görüşmede yaşadığım olayı sadece banka şubesi ile görüşüp çözebileceğim söylendi. Yapılan bu haksızlık ve haksız kazancın tarafıma geri iade edilmesini istiyorum. Hakkımı her türlü her mecrada sonuna kadar arayacağımı beyan ederim. Para iadesinin olmaması akabinde bankanız ile olan tüm ticari ilişkimi kesip hesaplarımı başka bankaya taşıyacağım.", Sigorta, Konuk Sigortası
"Yıllardır bitmedi! Bankanızın 4727**83 numaralı müşterisiyim. Yine iznim, bilgim, rızam ve onayım dışında düzenlenen, 34*****84 poliçe numaralı 'Konut Finans. Evim Paket Sigortası' adlı saçma sapan sigortayı kabul etmiyorum ve bu poliçenin derhal iptal edilmesini talep ediyorum. (Zaten 35****42 poliçe numaralı zorunlu DASK yapıldı... Daha başkasına gerek yok, kesinlikle istemiyorum, onaylamıyorum! Üstelik KVKK'ya tamamen aykırı şekilde hesaplardan/kartlardan vs. Otomatik çekiliyor bu meblağlar; bakmasak haberimiz olmuyor... Rızam yoktur! Mesajla bildirince benden onay almış olmuyorsunuz, günde onlarca SMS - e-posta - bildirim vs. Geliyor cep telefonuma... Bir SMS göndererek, mail atarak, benim noter tasdikli onayımı almış olmuyorsunuz, yazık!", Sigorta, Konuk Sigortası
"kredi hayat sigortası başvurusu reddedildi ne yapabilirim?", Sigorta, Bireysel Kredi Hayat Sigortası
"Poliçe detayları eksik veya hatalı", Sigorta, Bireysel Kredi Hayat Sigortası
"Prim ödemesi yapılmadı", Sigorta, Bireysel Kredi Hayat Sigortası
"Poliçemde hangi teminatlar var?Detaylı bilgi almak istiyorum", Sigorta, Bireysel Kredi Hayat Sigortası
"Poliçemi nasıl yenileyebilirim?Yardımcı olabilir misiniz?", Sigorta, Bireysel Kredi Hayat Sigortası
"Poliçem elime ulaşmadı, poliçe detaylarını nasıl öğrenebilirim?", Sigorta, Bireysel Kredi Hayat Sigortası
"Poliçemde eksik ya da yanlış bilgiler var, nasıl düzelttirebilirim?", Sigorta, Bireysel Kredi Hayat Sigortası
"Prim ödemem sistemde görünmüyor, ödeme işlemini tekrar mı yapmalıyım?Detaylı bilgi almak istiyorum", Sigorta, Bireysel Kredi Hayat Sigortası
"Otomatik ödeme talimatım çalışmamış, ödememi nasıl yapabilirim?", Sigorta, Bireysel Kredi Hayat Sigortası
"Poliçemi iptal etmek istedim ama iptal sürecinde sorun yaşadım, nasıl çözülebilir?", Sigorta, Bireysel Kredi Hayat Sigortası
"Kredi iptal talebim onaylanmadı, sebebini öğrenebilir miyim?", Sigorta, Bireysel Kredi Hayat Sigortası
"Sigorta temsilcisine ulaşamıyorum, başka bir yetkiliyle nasıl iletişime geçebilirim?", Sigorta, Bireysel Kredi Hayat Sigortası
"Sigorta yaptırmak zorunda mıyım?Bilgi verebilir misiniz", Sigorta, Bireysel Kredi Hayat Sigortası
"Hayat sigortası neleri kapsıyor.Bilgi verebilir misiniz?", Sigorta, Bireysel Kredi Hayat Sigortası
"Hayat sigortası yaptırmasam ne olur.Bilgi verebilir misiniz?", Sigorta, Bireysel Kredi Hayat Sigortası
"Diğer bankalarda Hayat Sigortası zorunluluğu yok.", Sigorta, Bireysel Kredi Hayat Sigortası
"Vefat halinde mirascılarıma ödeme yapılıyor mu?Bilgi verebilir misiniz?", Sigorta, Bireysel Kredi Hayat Sigortası
"Diğer kullullanılan diğer kredilerimide kapsıyor mu?Bilgi verebilir misiniz?", Sigorta, Bireysel Kredi Hayat Sigortası
"Kullanılan her kredide ayrı ayrı yaptırmak zorunda mıyım?", Sigorta, Bireysel Kredi Hayat Sigortası
"Ferdi kaza sigortası hakkında bilgi almak istiyorum", Sigorta, Ferdi Kaza Sigortası
"Hasar bildirimi hatalı ne yapabilirm?", Sigorta, Ferdi Kaza Sigortası
"Ferdi kaza sigortası neleri kapsıyor.Bilgi veriri misiniz?", Sigorta, Ferdi Kaza Sigortası
"Ferdi Kaza Sigortası yaptırmak zorunda mıyım?Bilgi verebilir misiniz?", Sigorta, Ferdi Kaza Sigortası
"Kaza halinde vefat durumunda tazminat var mı?Bilgi almak istiyorum", Sigorta, Ferdi Kaza Sigortası
"Diğer kullullanılan diğer kredilerimide kapsıyor mu?Bilgi verebilir misiniz?", Sigorta, Ferdi Kaza Sigortası
"isteğim dışı Ferdi Kaza Sigortası yapılmıştır. İptal ettirdim fakat para hesabıma yatmadı. Telefonlara da ulaşamıyorum. Müşteri hizmetlerini aradım kesintiyi doğruladı ama çözüm olarak genel müdürlüğe konuyu aktaracağını söylemesine rağmen dönüş yapan maalesef olmadı.", Sigorta, Ferdi Kaza Sigortası
"Denizbank, bilgim ve onayım olmadan Ferdi Kaza Sigortası yapıyor ve iadesi için aradığımda telefonda bekletiliyorum. Müşteri memnuniyeti hiç yok, hep aynı sorunu yaşıyorum.", Sigorta, Ferdi Kaza Sigortası
"Bireysel emeklilik ve ferdi kaza sigorta işlemlerimi bankanız aracılığıyla yapmaktayım. Aniden FAST ve EFT ücreti almaya başladı. Bu durumu haber edebilirlerdi. Durumun düzeltilmesini istiyorum.", Sigorta, Ferdi Kaza Sigortası
"Merhaba, kredi kartımdan bana izinsiz olarak Metlife Güvende Plus Ferdi Kaza Sigortası ve ayrıca hayat sigortası yapılmış. Hayat sigortası için 655 TL ve Ferdi Kaza Sigortası için 1.000 TL para çekilmiş. Derhal para iadesi ve iptal edilmesini talep ediyorum. Teşekkürler.", Sigorta, Ferdi Kaza Sigortası
"Denizbank müşteri hizmetleri üzerinden arandım bana 1 tane sigorta poliçesi sundu. Sigorta kapsamlı Ferdi Kaza Sigortası sigortayı iptal ettirmek istiyorum. Kesilen paranın iadesini talep ediyorum.", Sigorta, Ferdi Kaza Sigortası
"Metlife tarafından bilgim dışında ödemelerim güvende ferdi kaza sigorta poliçesi yapılmış. Denizbank ise bu olaya alet olup hesabımdan bilgim dışında ödeme yapmış. Denizbank hesabınız varsa ya kapatın ya da her gün kontrol edin.", Sigorta, Ferdi Kaza Sigortası
"Ferdi Kaza Sigortası adında hesabımdan benden onay almadan para kesilmiş kesilen tutarın geri iadesini istiyorum. Aksi takdurde şikayette bulunacağım. Bu bir saçmalıktır paramın geri iadesini istiyorum", Sigorta, Ferdi Kaza Sigortası
"Maaş müşterisi olmama rağmen müşteri hizmetlerine bağlanmak çok uzun zaman alıyor.", Hizmet Kalitesi, İletişim Merkezi
"Denizbank müşteri temsilcisine bağlamak çok uzun zaman alıyor lütfen bu konuyu düzeltsinler. Yoksa bankayı kullanmayacağım. Bu problem uzun zamandır devam ediyor", Hizmet Kalitesi, İletişim Merkezi
"Denizbank müşteri hizmetleri tam bir hayal kırıklığı. 35 dakika oldu hala bağlanmadı.", Hizmet Kalitesi, İletişim Merkezi
"Müşteri hizmetlerine bağlanmak çok uzun sürüyor. Bağlandıktan sonra temsilcinin hiçbir şekilde bilgisinin olmaması daha da kötü. Süreci tamamen uzatıyor.", Hizmet Kalitesi, İletişim Merkezi
"Temsilciler yeterince bilgili değildi ve sorularıma doğru yanıtlar alamadım.", Hizmet Kalitesi, İletişim Merkezi
"Müşteri hizmetlerine ulaşmak tam bir eziyet! Saatlerce bekledim ve sonunda kimseye ulaşamadım", Hizmet Kalitesi, İletişim Merkezi
"Bankanın hizmet kalitesi ile ilgili şikayetimi nasıl iletebilirim?", Hizmet Kalitesi, İletişim Merkezi
"Şikayet başvurusu yaptım, ne zaman geri dönüş alırım?", Hizmet Kalitesi, İletişim Merkezi
"Denizbank müşteri temsilcisine bağlanmak büyük problem. Telesekreteri atlatıp canlı görüşme yapmak neredeyse imkansız. Banka yetkililerinin bu konuya bir çözüm getirmesi gerekiyor.", Hizmet Kalitesi, İletişim Merkezi
"Müşteri temsilcisi için 30 dakika bekledim, sonra kendiliğinden kapandı. Hiçbir işlemi halledemiyorum.", Hizmet Kalitesi, İletişim Merkezi
"müşteri hizmetlerine hiçbir şekilde bağlanmıyor ve çözüm sunmuyorlar.", Hizmet Kalitesi, İletişim Merkezi
"Denizbank müşteri hizmetleri yüzüme kapattı. 40 dakika bağlanmayı bekledim, bağlanınca kapattı. Nasıl bir hizmet, 2 gündür bağlanamadım. Sorunumu çözemedim.", Hizmet Kalitesi, İletişim Merkezi
"20 dakikadan fazla süre müşteri temsilcisine bağlanmaya çalıştım. Telesekreter beni müşteri temsilcisine bağlamak yerine sürekli olarak ana menüye gönderdi. Çözüm bulmanızı talep ediyorum.", Hizmet Kalitesi, İletişim Merkezi
"müşteri hizmetlerini aradım ancak hiçbir şekilde müşteri temsilcisine bağlanmam sağlanmadı.", Hizmet Kalitesi, İletişim Merkezi
"temsilci sorunumla ilgilenmedi ve aramayı sonlandırdı. Yardımcı olmasını ısrarla talep etmeme rağmen telefonu yüzüme kapatmıştır. Bu kötü hizmetinizden ötürü hesabımı kapatacağım.", Hizmet Kalitesi, İletişim Merkezi
"Müşteri hattınızı aradığımda beni hiçbir temsilciye bağlamıyor", Hizmet Kalitesi, İletişim Merkezi
"Denizbank müşteri hizmetlerini onuncu kez aramama rağmen bir türlü müşteri temsilcisine bağlanamıyorum. Beni sürekli olarak sesli yanıt sistemi karşılıyor ve istediğim cevabı alamıyor, istediğim işlemi gerçekleştiremiyorum. Burada yarım saatimi kaybettim.", Hizmet Kalitesi, İletişim Merkezi
"Denizbank müşteri hizmetlerine ve bağlı olduğum şubeye kesinlikle telefonla ulaşamıyorum.", Hizmet Kalitesi, İletişim Merkezi
"müşteri hizmetlerine bağlanmaya çalışıyorum fakat imkansız. Defalarca denememe rağmen Denizbank müşteri hizmetleri 15-20 dakika hatta kalıp sonra hattan düşüyor", Hizmet Kalitesi, İletişim Merkezi